sentence,label
"In nature, the conversion of N2 to NH3 can only be performed by a small group of diazotrophic microorganisms that contain the enzyme nitrogenase.",Background
"From these studies and from EXAFS-studies it is known that nitrogenase consists of two proteins, the Fe protein and the MoFe protein.",Background
"A very recent X-ray study of the MoFe-protein revealed that the FeMoco has a central ligand in the cavity, which could be either nitrogen, oxygen or carbon.",Background
Subsequent theoretical studies by us and other researchers have presented strong support for the central ligand to be nitrogen.,Background
"Since TiO2 electrode was first studied for water decomposition under UV-light irradiation, a variety of photocatalysts, mainly Ti, Nb and Ta based oxides, have been reported to be effective for photocatalytic decomposition of water.",Background
"first demonstrated the use of ion-exchangeable layered oxides, K4Nb6O17 and K2La2Ti3O10, as effective photocatalysts for water splitting.",Background
"On the other hand, Ta-based catalysts have recently been developed as a new class of photocatalyst.",Background
"first studied the photocatalytic properties of many Ta-based catalysts, such as Sr2Ta2O79 and NaTaO3.",Background
first studied the photocatalytic properties of layered perovskite tantalates.,Background
The structure of K2SrTa2O7 and its hydrate has been recently clarified.,Background
"The quest for Hg(iv) complexes remains thus a major challenge, and we have recently started to consider new synthetic targets and routes, including electrochemical access using chelate or macrocyclic ligands and/or oxidizing matrix environments.",Background
It is known from related systems that k0 decreases with increasing extent of electron delocalisation of the promoted electron.,Background
"Using an ingenious chemical approach, Giese and coworkers have oxidatively created holes in DNA and have studied their migration by an analysis of the products resulting from the consecutive reactions.",Background
"The correlation functionals for the uniform electron gas, ascribed to Volko, Wilk and Nusair (VWN)4 or Perdew and Wang (PW91)5 are called dynamic correlation functionals, because there are no near-degeneracy configurations in that model system.",Background
Time-resolved spectroscopic studies and the combined investigation of the structure and activity are important in the field of heterogeneous catalysis.,Background
"Ex situ studies have been performed to a great extent but it is generally accepted nowadays that such studies provide structure–activity relationships only in selected cases, i.",Background
This cell design has recently also been used to obtain both structure and activity data on heterogeneous catalysts.,Background
"On the other hand, both the molecular simulation and density functional theory (DFT) methods have been used to study the adsorption behavior of simple fluids in MCM-41 and its pore size distribution (PSD).",Background
"In both the DFT and MC methods, a potential model for the wall–fluid interactions is required, which plays a key role in the accuracy of the calculated properties.",Background
The tetracyanoethylene anion radical (TCNE−˙) is known experimentally to form three types of dimeric products (TCNE22−) in the solid state (Chart 1).,Background
The benefits of ultrasound in electrochemistry have recently been highlighted.,Background
The MM-PBSA method has recently been used with good success in predicting and explaining the binding of various ligands to proteins.,Background
"ThT bound to amyloid fibrils is known to show characteristic fluorescence emission, and is widely used as a probe for amyloid fibrils.",Background
Heterogeneous atmospheric aerosol chemistry is an experimentally challenging area of research.,Background
Carbon nanotubes (CNTs) are widely considered as promising materials both in nanochemistry and nanoelectronics.,Background
A very recent calculation appears to support this structure.,Background
"Indole is the aromatic chromophore of the amino acid trypthophan, which plays an important role in solvation-dependent photophysical processes of proteins.",Background
"A complex which has recently drawn attention is the one formed between fluoroform and dimethyl ether (DME), F3CH·O(CH3)2.",Background
Photoinduced electron transfer between the donor and the acceptor is responsible for photocurrent generation.,Background
"It is known that in linear oligomers and multi-branched conjugated systems the lowest-energy TPA-allowed transition is well separated from other higher TPA-energy levels, leading to characteristic peaks in near-IR TPA spectra.",Background
We have recently used this circumstance to study cooperative enhancement of σ2 in a series of conjugated multi-branched systems.,Background
"This bacterium is responsible for a great number of nosocomial infections including urinary tract and abdominal infections, wound infections, bacteremia and endocarditis.",Background
For this reason many papers have studied the initial interaction between microorganisms and different substrata.,Background
"It is important to note that in all these cases, assumptions regarding the necessity of diffuse functions were based on calculations of anions with point charges.",Background
"However, while the use of larger and/or more complex basis sets usually yields more accurate results, this is almost always accompanied by a significant increase in calculation effort and time.",Background
In the membrane of photosynthetic bacteria a complex system of pigment-proteins is responsible for this process to occur.,Background
"Most of the experimental results, obtained for a wide range of temperatures, can be well understood in terms of small excitons comprising of two to four Bchl .",Background
"This Stokes shift of separate LH2 complexes recently was attributed to the self-trapped exciton formation, however, the excitation dynamics within this model was not considered.",Background
"However, in light of newer experimental evidence that HCCO + H is the major product channel of reaction (1), Klippenstein, Miller, and Harding recently proposed a new model for prompt CO2 formation that centers on oxidation of HCCO HCCO + O2 → H + CO + CO2 ΔH0 = −110.",Background
"Rydberg Matter has recently been proposed to be part of the dark matter in the Universe, to be the source of the so called UIR emission bands from interstellar space and to give rise to the Faraday rotation in intergalactic space.",Background
These results have recently been independently confirmed.,Background
The so called unidentified infrared bands (UIR) were recently shown to be formed in de-excitation processes in RM.,Background
More recently Cinelli et al.,Background
"This relaxation is responsible for a 2000 cm−1 Stokes loss in <100 fs in the free chromophore in solution, but the Stokes shift is greatly reduced in the intact protein.",Background
The driving force for proton transfer is the stabilization of the excess electron onto the π* orbital of the base.,Background
We have recently found that BFPT also occurs in anionic complexes of thymine (T) with formic acid (F) though a difference in the photoelectron spectra of UF− and TF− suggested that the methyl group of thymine could make a difference in the intermolecular proton transfer to the O8 atom (see Fig.,Background
The isomerization about both a double bond and an adjacent single bond is commonly referred to as a ‘hula-twist’ isomerization.,Background
It is well known that helium is the second most abundant element in the interstellar medium.,Background
Epidermal growth factor (EGF) is known to signal through tyrosine kinase receptors of the ErbB family.,Background
"In particular, this is expected to be the case for fragile liquids, given that they have more opportunities for the development of structured cluster-like configurations.",Background
"Hydrolysis of phosphatidylcholine (PC) is a major signalling mechanism of neutrophils, leukocytes that phagocytose and kill bacteria as part of the innate immune response, generating phosphatidic acid, diacylglycerol and arachidonate-derived lipid second messengers.",Background
These functions include providing the physico–chemical environment for optimal membrane protein function and acting as substrates for a wide range of intracellular signalling phospholipases.,Background
"Hydrolysis of PC by phospholipase D is a major mechanism regulating the activation of neutrophils NADPH oxidase, the enzyme complex responsible for generation of bacteriocidal oxygen radicals, and maintenance of an optimal PC composition is thought to be central to this process.",Background
Brandts and Pohl proposed that the driving force for stabilizing the protein folded conformation is a non-specific solvation effect in which the preferential exclusion of the co-solvents from the protein surface arises from enhanced water ordering (structure makers).,Background
A more quantitative second-order thermodynamic perturbation has very recently been reported by Lai and Wu.,Background
"With the recent development of the inhomogeneous density functional theory for the hard-sphere system in solid state and in conjunction with the liquid state theory already available in the literature, several simple model systems have been investigated.",Background
"As photocatalysts, both rutile and anatase phases have been widely investigated, and it is well known that the photocatalytic activities of the anatase phase are mostly superior to those of the rutile one.",Background
"To disseminate this important new result to the atmospheric chemistry community as rapidly as possible, a joint communication was recently published where the results of all three groups are summarized and recommendations concerning values for k1(T) that should be used in atmospheric models are presented.",Background
 22 and 23 all experiments and most simulations indicate that phase transitions driven by Coulomb interactions also belong to the Ising universality class.,Background
Corresponding states analysis of the location of the consolute point enables to distinguish phase transition that are driven by Coulomb interactions from those determined by solvophobic interactions.,Background
"Phase transitions with reduced critical data near the RPM figures are termed Coulombic, because the phase transitions are expected to be driven by Coulomb forces.",Background
"In water, where the phase transition is driven by hydrophobic interactions, which are short-range, the reduced critical data (Tc* = 0.",Background
"1) become much larger, which is in the region typical for phase transitions driven by solvophobic interactions.",Background
"Including water and higher alcohols, this observation suggests a continuous change from Coulomb phase transitions to such driven by solvophobic interactions with ε as the determining parameter.",Background
Several studies which deal with electrodes modified with microdroplets of water-immiscible compounds have been reported and we refer the reader to a review article recently published in this journal for a more thorough description of the techniques used and the results obtained by different authors.,Background
"Initial work was mainly focused on organic hydrophobic oils containing a phenylenediamine backbone although recently the biphasic redox chemistry of n-butylferrocene, 4-nitrophenylnonylether, vitamin K1 and vitamin E in the form of microdroplets has also been explored.",Background
"It is known that bicarbonate (HCO3−) ions are needed for maximum activity of PSII (for recent reviews, see refs.",Background
"In addition, strong evidence is known for the action of bicarbonate on the electron acceptor side of PSII, where it promotes efficient re-oxidation of QA−.",Background
"Therefore, it is often referred to as manganese stabilizing protein (MSP).",Background
"However, it is obvious from the recently published PS2 X-ray structure that the PsbO subunit is not directly involved in binding of manganese as part of the WOC.",Background
"For highly fluorescent thioindigo, it is generally accepted that trans → cis isomerization takes place through triplet intermediate.",Background
"However, addition of alcohols to the solution of photochromic indigo dyes is known to quench the fluorescence and diminish the isomerization.",Background
Much progress has been made in recent years towards understanding the interactions between ions and solvent molecules.,Background
The LMP2 method has three advantages over more traditional MP2 implementations.,Background
"It is clear that metallophilicity in group 11 has been extensively investigated over the past decade, and important progress has been made.",Background
It is known that the temperature at which CZMOs release oxygen under reducing conditions may be decreased or increased upon application of SR/MO or SO treatment regimes.,Background
"Despite this, the observation of promoted TPR profiles has recently been linked to a newly reported κ phase, formed by oxidation (873 K) of Ce0.",Background
Their great relevance for biochemical and biological systems has been confirmed over the past decades.,Background
"For example, the recent study involving two of us in refs.",Background
"This is of relevance, in particular, for the S1–S0 CI in protonated Schiff bases (PSBs) like retinal, which plays a key role in the chromophore's cis–trans isomerization and can be associated with the translocation of a positive charge.",Background
The respective transition has traditionally been assigned to the 1 1A2 (3s) Rydberg state.,Background
"However, Sobolewski and Domcke recently demonstrated that the stretching of the NH bond in the 1 1A2 state leads to a Rydberg-to-valence transformation by which that bond becomes anti-bonding, i.",Background
It is well known that the chain-terminating reaction H + O2 (+M) → HO2 (+M) is of central importance in the oxidation of hydrogen-containing molecules.,Background
Its rate at low pressures has been measured repeatedly since about 1945 and the uncertainty of the third order low pressure rate constant k0 today is estimated to be about ±25%.,Background
There is considerable interest in the high pressure properties of the reaction in the field of supercritical water oxidation where temperatures are of the order of 800–1000 K and water pressures are around 250 bar.,Background
"Diffusion plays an important role in the hydrogen electrode reaction (HER), especially when it is taking place in the anodic direction, the hydrogen oxidation reaction (hor).",Background
"The reader is also directed to other reviews covering either a wide range of applications, or specific fields such as DNA and protein analysis, genomics and proteomics analysis or molecular diagnostics.",Background
"The transformation of materials from the amorphous to the crystalline phase and its theoretical description have received considerable attention due to its relevance for areas as diverse as polymer science, interstellar physical chemistry, semiconductor technology and metallurgy.",Background
"There has recently been renewed interest in theories that predict the crystallized fraction as a function of time (as this constitutes the commonly measured quantity), and its sensitivity to the various parameters associated with the phase transition: the nucleation probability, the rate of subsequent growth and the desorption rate of material from the thin films, if pertinent.",Background
"This is not a purely abstract issue, as there have recently been two independent reports for nucleation of the thermodynamically stable phase at the surface: for the crystallization of amorphous solid water and polymers.",Background
"Glycoconjugates such as glycolipids and glycoproteins on cell membranes play an important role of receptor to lectins, toxins and viruses in living systems, and are significantly related to the formation of organized systems such as cell adhesion, differentiation and morphogenesis.",Background
Structures of cyanobacterial PS II core complexes were obtained recently at 3.,Background
One branch is known to be active in charge separation.,Background
Visual secret sharing schemes to work with digital watermarking have recently proposed by many authors which provides more security to theimage.,Background
TCP traffic has recently been exploited broadly in DDoS attacks.,Background
 Many researchers have studied how to design reasonable network topology to minimize communication cost and how to take full advantages of object-oriented design and reliable technology to improve process performance [5]–[6].,Background
 It is well known that the application of computer and Internet teachings to traditional teaching requires some kind of transformation.,Background
" As RBF Network is well-known classifier with good generalization ability in many applications, growing and pruning rules in RBF network will be focused in our study.",Background
" Recently, graph database is extensively used to represent specially multi linked data of web, RDF data, social network, chemical structure, gene, network structure, publication links, and many more.",Background
" Recently, many sites are appreciated because of their social tagging service, such as Youtube, Delicious, Flickr, Douban, and so on.",Background
"In the area of electronic commerce, the best application is Amazon Website [11], which is known as the “King of recommender systems” by the RWW.",Background
" A handful of work in SR has emerged recently [2], [3], [4] and many open issues exist for SR in terms of its definition, formalization and performance metrics.",Background
"In recent years, many scholars and relevant personnel have done a lot of work in the remote sensing classification; many methods have been introduced to the application of remote sensing classification.",Background
 A structural neural network with Backpropagation Through Structure (BPTS) algorithm [4]–[5] is recently developed and proved to be effectively for digital image classification in the field of computer graphics.,Background
 In recent years many studies have been carried out on audio classification.,Background
" Recently, this early auditory model has been employed in audio classification and excellent performance has been reported in [6] and [7].",Background
"Recently, sparse representation-based classification (SRC) has gained great interest [2]–[3][4].",Background
"Recently, many scientific researchers and applications work on large amounts of data or use high performance computing resources.",Background
" Recently, there are some initial work on cross-modal correlation, such as predicting answers given an image and a question as inputs [10], analyzing pairwise correlation between images and their captions [11], cross-modal retrieval by canonical correlation analysis (CCA) [12], kernel CCA (KCCA) [13] or discriminative alternating regression [14], and cross-modal hashing by binary set embedding [15].",Background
"Perhaps due to this nature, AOT is able to inhibit the growth of the CdS nanoparticle and thus help in forming quantum dots with a better size control.",Conclusion
In conclusion CdS nanoparticles have been synthesized within thermally evaporated thin films of aerosol OT by electrostatic entrapment of Cd2+ ions and their subsequent treatment with Na2S. This technique shows promise for the realization of patterned structures of nanoparticulate CdS thin films as well as doped CdS nanoparticles to improve the optoelectronic properties of these composite films.,Conclusion
This behaviour is shown to be consistent with a model in which light reflected from the top of the structure interferes with light reflected from within the spherical segment cavities in the film.,Conclusion
"The sensitivity to pair configuration is a strong evidence for the involvement of intermediate (KP-NPX)* exciplexes in the NPX deactivation (steps (4) and (5), Scheme 1).",Conclusion
"Furthermore, it is indicative of specific structural requirements in the formation of the sandwich-like intermediates involved in the induced quenching processes.",Conclusion
"In summary, we have synthesized two new chiral bichromophoric diastereomers, which are good models to demonstrate the involvement of through-space methoxynaphthalene–benzophenone interactions in the decay of the NPX triplet.",Conclusion
This process has been found to be stereoselective.,Conclusion
Our results for the difference in reactivity can be linked to experimental observations.,Conclusion
"The layered perovskite tantalates with hydrated interlayer space, A2SrTa2O7·nH2O (A = H, K, and Rb), showed higher H2 formation rate than anhydrous layered tantalate, Li2SrTa2O7, and anhydrous perovskite tantalate, KTaO3.",Conclusion
H2SrTa2O7·nH2O and K2SrTa2O7·nH2O showed high activity for overall splitting of water without loading co-catalysts.,Conclusion
"The reaction over H2SrTa2O7·nH2O proceeded steadily more than 70 h, demonstrating a high durability of the catalyst.",Conclusion
The results indicate that the availability of interlayer space of layered tantalate as reaction sites is an important factor to improve the photocatalytic activity of Ta-based semiconductor materials.,Conclusion
"In this paper, we report the first successful example of layered perovskite-type tantalates with hydrated interlayer space, A2SrTa2O7·nH2O (A = H, K and Rb), as very active photocatalysts.",Conclusion
These findings are consistent with the proposal that an essential component of the so-called proton release group “XH” could consist of a protonated water network stabilized by polar aminoacids.,Conclusion
The lithium ion affinity of the anions decreases with the gradual CN-substitution and is thus lowest for the [N5C10]− anion.,Conclusion
"The stability vs. oxidation, inferred from the HOMO values, is large for all anions.",Conclusion
"So far we established the existence of one (1,2) conical intersection and we have good reasons to believe that this system contains several (2,3) and (3,4) conical intersections as well.",Conclusion
"Here we present results due to additional new calculations which, further, support our theoretical findings in general and strengthen our conclusions concerning this system, in particular.",Conclusion
"As for C2H2, this is our first attempt to study a four-atom system, it will be shown that, also in this case, the results support the theoretical findings.",Conclusion
"Hybrid functionals with ca. 20% Hartree–Fock exchange like B3LYP, B1LYP or MPW1PW91 have provided the best energetics, whereas local or gradient-corrected “pure” functionals overestimate, and the BHandHLYP hybrid functional underestimates the stability of the HgIV state.",Conclusion
Basis sets are suggested that provide a reasonable compromise between accuracy and computational effort in calculations on larger systems.,Conclusion
"On the basis of temperature-dependent emission studies made with the target binuclear compounds, it is concluded that the extent of electron delocalisation at the triplet level depends on the torsion angle imposed by the bridge.",Conclusion
It is now clear that motion around the bridging phenylene unit is coupled to nonradiative decay of the lowest-energy triplet state.,Conclusion
"Presumably, this effect relates to the system trying to achieve the maximum orbital overlap at the triplet level.",Conclusion
It should be noted that the strap exerts a pronounced effect on k0 since there is a 90-fold increase in rate between C2 and the corresponding complex lacking the strap.,Conclusion
We believe that this approach does not affect the credibility of comparison between various simple empirical potentials.,Conclusion
"(M. W. Maddox, J. P. Olivier and K. E. Gubbins, Langmuir, 1997, 13, 1737–1745), our model gives a much better fit to the experimental isotherm of nitrogen at 77 K in the pressure range of P/P0 = 0.2–0.5 with much less parameter and computation effort, where phase transition and capillary condensation occur.",Conclusion
"Furthermore, the relationship between the reduced pressure, at which capillary condensation takes place, and the pore diameter by the hybrid model is in good agreement with that obtained by Maddox et al.",Conclusion
"In addition, adsorption and phase behavior of methane and ethane are studied by the model, and the calculated results also coincide well with the experimental isotherms of methane and ethane at 264 K–373 K. Therefore, the hybrid potential model incorporating into the DFT method provides a useful tool for characterization of MCM-41.",Conclusion
"Based on our results, the hybrid potential model incorporated into the DFT method is recommended as a useful tool for characterization of MCM-41.",Conclusion
Satisfactory agreement is obtained between calculated observables at the highest level of theory and experiment.,Conclusion
"More importantly, we also find that the unusually long C–C bond observed in π-TCNE22− dimers is in fact an outcome of significant dispersion attractions between the two cofacial monomers, as well as their π-bonding interactions.",Conclusion
"Despite substantial diradical character, therefore, one can say overall there exists a “chemical bond”, or a partial π-bond more precisely.",Conclusion
"However, the fact that the dimer is unstable at Req = 2.7 Å at the PP(1) level indicates clearly that this π-bonding interaction (76%) is not enough by itself to overcome the other effects and to yield a stable dimer.",Conclusion
"Due to the cofacial parallel geometry of the π-dimer, dispersion attractions between the monomers are large enough to stabilize this unusually diradicaloid bond.",Conclusion
"The balance between two-electron bonding and dispersion attractions (which favor shorter distances), against Coulomb and exchange repulsions of other filled orbitals (which favor longer distances), results in the observed bondlength.",Conclusion
Hence the electronic structure of the exceptionally long C–C bond found in TCNE22− can be best described as a dispersion-assisted partial four-center two-electron π-bond.,Conclusion
"This is supported by the fact that comparable calculations on the neutral TCNE dimer (i.e., including dispersions but not covalent interactions) show much weaker binding.",Conclusion
These common characteristics suggest that these supramolecular π-dimers may have similar electronic structures as well.,Conclusion
The OH group in t-1-Np+ is slightly more acidic than in c-1-Np+ leading to stronger intermolecular H-bonds.,Conclusion
Both 1-Np+ rotamers are considerably less acidic than the phenol cation because of enhanced charge delocalization.,Conclusion
"The Δν1 shifts of 1-Np+–Ln (n ≤ 2 for Ar, n ≤ 5 for N2) suggest that the preferred microsolvation path begins with the formation of H-bound 1-Np+–L, which is further solvated by (n−1) π-bound ligands.",Conclusion
Ionization of 1-Np−Ln drastically changes the topology of the intermolecular interaction potential and thus the preferred aromatic substrate–nonpolar ligand recognition pattern.,Conclusion
"The rate constants were found to be 6.1 × 103 M−1 s−1 for azobenzene, 7.4 × 103 M−1 s−1 for hydroazobenzene and 10.4 × 103 M−1 s−1 for fast black K. These values suggest the use of these modified electrodes as practical hydrogen peroxide generators.",Conclusion
"As a consequence, the stability order of the all-chair conformation, which is the most stable conformation in aqueous solution, and the distorted reactive conformations is reversed upon binding to the enzyme.",Conclusion
"Thus, in addition to specific enzyme–substrate interactions, CEX and especially BCX recognise the reactive high-energy conformation by the substrate-binding site of several sugar-binding subsites complementary in shape to the reactive conformation.",Conclusion
"In conclusion, we have succeeded in the arrayed immobilization of natural protein onto the fibrillar nanoconstruct formed from designed peptides.",Conclusion
Streptavidin was disposed regularly at intervals of 50 nm on the fibrils containing biotinylated peptides.,Conclusion
"Furthermore, engineered peptide fibrils formed from small peptides is of advantage, because the peptide element constructing fibrils can be easily modulated and modified by its amino acid composition,3e chain length, and incorporation of functional groups.",Conclusion
"The present study implies that a variety of functional molecules can be immobilized on peptide nanofibrils in controlled distance and amount, thus indicating the possibility to design nanoscale bioconstructs with functionalities.",Conclusion
An observed trend of resonant frequency change with respect to time could be explained by the binding kinetics due to the Langmuir isotherm and diffusion and by the effects of a small volume reaction chamber.,Conclusion
"In the saturated regimes, the resonant frequency of the cantilever increased with increase of the PSA concentration in the reaction chamber, showing that the trend of the resonance frequency change was similar to that of the fluorescence results.",Conclusion
"It is demonstrated that the nanomechanical cantilevers allow for a rapid direct detection of PSA with a high sensitivity, but without the need of fluorescent, radioactive molecule labeling and any external actuator for driving.",Conclusion
We demonstrate that the unique combination of optical tweezing and CERS can enable the fundamental factors governing the coagulation of two liquid droplets to be studied.,Conclusion
This demonstrates that dynamic size changes at the nanometre level can be investigated by CERS.,Conclusion
The magnitude of this shift is comparable to the experimental resolution of the spectrograph and it can be concluded that any droplet heating must correspond to a temperature change of <1 K.,Conclusion
"The intensity of the CERS signal shows a strong inverse correlation with laser power (Fig. 4(b)), suggesting that the droplet cavity losses increase with increasing laser power, and this may be symptomatic of enhanced absorption losses in the droplet.",Conclusion
"The nature of the optical trap enables 3D manipulation of the aerosol droplets, an advantage over purely levitating the droplet with the scattering force.",Conclusion
"By coupling optical tweezers with CERS, a wide range of aerosol dynamics can now be explored.",Conclusion
"Not only can accurate measurements be made of droplet size, but the evolution of the chemical composition can be monitored by spontaneous and stimulated Raman scattering.",Conclusion
The spectral data obtained provide conclusive evidence of the presence of “free” and weakly coordinated CF3SO3– ions located in two distinct sites in the whole range of salt concentration analyzed.,Conclusion
The number of anionic environments found in the m-Ut(750)nEu(CF3SO3)3 family confirms the rich coordinating possibilities offered by polymer systems incorporating trivalent triflate salts.,Conclusion
"The peroxy radical forms a cyclic complex with hydrogen peroxide, with both entities acting as hydrogen bond donors and as hydrogen bond acceptors.",Conclusion
The strength of the complex is very similar to that of the hydrogen peroxide dimer.,Conclusion
"Our spectra give clear evidence for this structure, we observe two strongly red shifted OH stretches and two strongly blue shifted HOO bends one from each complex component.",Conclusion
"CLSM thus provides a useful approach for in situ visualisation and characterisation of the endothelial glycocalyx in viable preparations, revealing a thickness that is an order of magnitude greater than found in ex situ measurements on fixed cells.",Conclusion
The CLSM analysis provided evidence of the extensive expression of the glycocalyx in cultured macrovascular endothelial cells in physiologically relevant conditions.,Conclusion
"The IR spectra of In+–Arn (n ≤ 5) suggest that the preferred microsolvation path for this cluster system begins with the formation of the H-bound In+–Ar dimer core, which is further solvated by (n − 1) π-bound ligands.",Conclusion
"In contrast, the spectra of In+–(N2)n with n ≤ 8 suggest that this cluster grows by the formation of an In+–(N2)2 trimer core with two H-bound N2 ligands, to which (n − 2) π-bound N2 molecules are attached.",Conclusion
"For several In+–Ln complexes, the geometry of the most stable isomer produced in this ion source differs drastically from the structures previously observed by resonant photoionization of the corresponding neutral precursors, demonstrating the severe restriction of photoionization techniques (given by the Franck–Condon principle) for the spectroscopic characterization of cluster ions.",Conclusion
"Comparison of the EI-IR spectra obtained for In+–Ar1,2 with previous photoionization data demonstrates the deficiencies of REMPI techniques for the production of the most stable isomers of this type of cluster ions.",Conclusion
Biomimetic synthesis of silica nanospheres depends on the aggregation and phase separation of polyamines in aqueous solution.,Conclusion
In the present contribution we show that the microscopic phase separation of polyallylamine in aqueous solution is strictly correlated with the silica precipitation activity of polyallylamine/silicic acid solutions.,Conclusion
Multivalent anions such as phosphate or sulfate efficiently induce this microscopic phase separation.,Conclusion
"In contrast to the multivalent phosphate and sulfate ions, the monovalent chloride ions are much less efficient in polyallylamine aggregate formation.",Conclusion
The advantage of the complementarity of the IR and Raman spectra of cryosolutions is demonstrated by the detailed analysis of the methyl deformation modes of the ether.,Conclusion
"Thus, the phthalocyanine moiety is the photoactive site and intermolecular photoinduced electron-transfer from the photoexcited phthalocyanine to MV2+ in the bulk mainly induces the cathodic photocurrent generation in PcS/Au.",Conclusion
A small amount of residual oxygen in the electrolyte solution may also contribute to some extent to the cathodic photocurrent generation.,Conclusion
"These results show that RuVS functions individually for anodic photocurrent generation at E = –200 mV, while PcS acts similarly for cathodic photocurrent generation at E = +400 mV.",Conclusion
The photocurrent measurements summarized above indicate that two kinds of photoinduced electron-transfer pathways operate almost independently in the (RuVS + PcS)/Au monolayer.,Conclusion
Intramolecular photoinduced electron transfer occurs from the photoexcited ruthenium complex to viologen in RuVS and intermolecular photoinduced electron transfer from the photoexcited phthalocyanine to MV2+ (and residual oxygen) takes place in the bulk.,Conclusion
"It is likely that oxygen accepts an electron from MV+, regenerating MV2+.",Conclusion
"In any case, one of these two pathways can be preferentially driven by irradiation at the appropriate wavelength, because the absorption bands of the ruthenium complex (around 450 nm; hν1) and phthalocyanine (600–700 nm; hν2) are widely separated from each other.",Conclusion
This novel photocurrent behavior is promising for applications in molecular photonic devices and photoelectric logic devices.,Conclusion
"The two-photon cross section, σ2 = 6 × 10–47 cm4s/photon, corresponds to a 400-fold increase over the value measured for the monomer, and is one of the largest ever obtained for organic chromophore of similar size.",Conclusion
"This experimental result is in agreement with the recent quantum mechanical calculations showing that, upon transition from a similar porphyrin monomer to a dimer about a hundredfold enhancement of TPA cross section is expected.",Conclusion
"Therefore, the extremely large two-photon cross section of the dimer can be explained by the very favourable position of the energy levels.",Conclusion
